pickup_address,delivery_address,order_value,payment_method,weather_condition,phone_number,failed
"Central Warehouse, Kathmandu","Ward 20, Thamel, Kathmandu",3048.09,COD,rainy,9832919564,0
"Central Warehouse, Kathmandu","Ward 5, Durbar Square, Bhaktapur",3587.52,prepaid,extreme,9866776106,1
"Central Warehouse, Kathmandu","Ward 30, Lakeside, Pokhara",937.08,cod,normal,9887633018,0
"Central Warehouse, Kathmandu","Ward 2, Durbar Square, Bhaktapur",2881.57,cod,extreme,9879171249,0
"Central Warehouse, Kathmandu","Ward 20, Jawalakhel, Lalitpur",4015.73,prepaid,foggy,9870163899,0
"Central Warehouse, Kathmandu","Ward 26, Lakeside, Pokhara",3499.06,online,normal,9860952667,1
"Central Warehouse, Kathmandu","Ward 11, Patan Durbar Square, Lalitpur",1428.76,prepaid,clear,9844080687,0
"Central Warehouse, Kathmandu","Ward 6, Main Road, Biratnagar",3057.39,prepaid,foggy,9891825435,0
"Central Warehouse, Kathmandu","Ward 12, Main Road, Biratnagar",3273.47,prepaid,extreme,9827768470,1
"Central Warehouse, Kathmandu","Baneshwor, Kathmandu",428.45,prepaid,normal,9869320981,1
"Central Warehouse, Kathmandu","Ward 5, Lakeside, Pokhara",4038.36,online,foggy,9886123954,0
"Central Warehouse, Kathmandu","Ward 27, Thamel, Kathmandu",1623.02,online,rainy,9851373756,0
"Central Warehouse, Kathmandu","Ward 5, Baneshwor, Kathmandu",4634.38,online,clear,9849311834,0
"Central Warehouse, Kathmandu","Ward 7, Main Road, Biratnagar",764.74,online,foggy,9852955397,0
"Central Warehouse, Kathmandu","Ward 3, Main Road, Biratnagar",371.85,cod,rainy,9833275381,1
"Central Warehouse, Kathmandu","Baneshwor, Kathmandu",1821.6,online,rainy,9847201296,0
"Central Warehouse, Kathmandu","Ward 30, Jawalakhel, Lalitpur",4768.46,cod,foggy,9881810798,0
"Central Warehouse, Kathmandu","Ward 27, Baneshwor, Kathmandu",4306.11,COD,rainy,9863564900,0
"Central Warehouse, Kathmandu","Ward 21, Lakeside, Pokhara",2036.22,online,clear,9836806766,0
"Central Warehouse, Kathmandu","Ward 13, Durbar Square, Bhaktapur",2436.42,cod,rainy,9819545245,0
"Central Warehouse, Kathmandu","Ward 22, Main Road, Biratnagar",3217.92,cod,normal,9840270072,0
"Central Warehouse, Kathmandu","Baneshwor, Kathmandu",1474.8,COD,foggy,9815236807,0
"Central Warehouse, Kathmandu","Ward 29, Thamel, Kathmandu",2872.31,cod,extreme,9889524078,1
"Central Warehouse, Kathmandu","Ward 5, Patan Durbar Square, Lalitpur",3277.32,online,clear,9860434958,0
"Central Warehouse, Kathmandu","Lakeside, Pokhara",1428.06,prepaid,foggy,9813038523,1
"Central Warehouse, Kathmandu","Ward 32, Durbar Square, Bhaktapur",338.05,prepaid,foggy,9818405439,0
"Central Warehouse, Kathmandu","Ward 16, Thamel, Kathmandu",3749.11,prepaid,foggy,9820399026,0
"Central Warehouse, Kathmandu","Ward 2, Lakeside, Pokhara",2446.69,online,rainy,9886717921,1
"Central Warehouse, Kathmandu","Ward 17, Baneshwor, Kathmandu",2829.88,COD,foggy,9876282944,1
"Central Warehouse, Kathmandu","Ward 6, Main Road, Biratnagar",1665.04,COD,clear,9832410539,0
"Central Warehouse, Kathmandu","Ward 21, Main Road, Biratnagar",3470.75,prepaid,rainy,9830445217,0
"Central Warehouse, Kathmandu","Ward 24, Lakeside, Pokhara",2763.48,COD,extreme,9817585980,0
"Central Warehouse, Kathmandu","Ward 24, Main Road, Biratnagar",3870.95,prepaid,clear,9845339487,1
"Central Warehouse, Kathmandu","Ward 10, Thamel, Kathmandu",2396.38,online,normal,9845217946,0
"Central Warehouse, Kathmandu","Ward 3, Lakeside, Pokhara",1673.43,online,clear,9894375359,0
"Central Warehouse, Kathmandu","Ward 18, Main Road, Biratnagar",3809.44,online,normal,9866098249,0
"Central Warehouse, Kathmandu","Ward 17, Durbar Square, Bhaktapur",2219.67,cod,clear,9877793644,1
"Central Warehouse, Kathmandu","Ward 24, Patan Durbar Square, Lalitpur",2501.55,COD,clear,9814856597,0
"Central Warehouse, Kathmandu","Ward 32, Lakeside, Pokhara",4766.22,prepaid,foggy,9820478458,1
"Central Warehouse, Kathmandu","Ward 5, Main Road, Biratnagar",1454.72,online,foggy,9855508100,0
"Central Warehouse, Kathmandu","Ward 24, Baneshwor, Kathmandu",1372.48,online,clear,9810989996,0
"Central Warehouse, Kathmandu","Durbar Square, Bhaktapur",4145.06,online,foggy,9872457558,0
"Central Warehouse, Kathmandu","Jawalakhel, Lalitpur",2857.92,COD,clear,9886644329,1
"Central Warehouse, Kathmandu","Ward 23, Jawalakhel, Lalitpur",2582.66,cod,foggy,9870961027,1
"Central Warehouse, Kathmandu","Ward 13, Patan Durbar Square, Lalitpur",1376.45,prepaid,clear,9844658711,1
"Central Warehouse, Kathmandu","Ward 14, Patan Durbar Square, Lalitpur",3083.98,online,extreme,9898063225,0
"Central Warehouse, Kathmandu","Baneshwor, Kathmandu",664.78,online,foggy,9872883031,1
"Central Warehouse, Kathmandu","Ward 19, Baneshwor, Kathmandu",3702.41,COD,normal,9832227852,1
"Central Warehouse, Kathmandu","Ward 5, Main Road, Biratnagar",3516.01,COD,foggy,9881061884,0
"Central Warehouse, Kathmandu","Ward 27, Lakeside, Pokhara",524.93,COD,normal,9862591655,0
"Central Warehouse, Kathmandu","Ward 2, Lakeside, Pokhara",1533.11,prepaid,clear,9882950063,0
"Central Warehouse, Kathmandu","Ward 27, Main Road, Biratnagar",3579.35,cod,foggy,9823293095,0
"Central Warehouse, Kathmandu","Ward 29, Durbar Square, Bhaktapur",1129.31,online,foggy,9896402111,1
"Central Warehouse, Kathmandu","Ward 4, Durbar Square, Bhaktapur",1732.76,prepaid,clear,9886467633,0
"Central Warehouse, Kathmandu","Ward 6, Patan Durbar Square, Lalitpur",402.88,cod,rainy,9819173344,0
"Central Warehouse, Kathmandu","Ward 17, Baneshwor, Kathmandu",1685.17,prepaid,extreme,9890411036,0
"Central Warehouse, Kathmandu","Baneshwor, Kathmandu",390.87,cod,extreme,9826626316,1
"Central Warehouse, Kathmandu","Ward 14, Main Road, Biratnagar",3471.27,cod,extreme,9893285696,1
"Central Warehouse, Kathmandu","Ward 30, Baneshwor, Kathmandu",588.61,prepaid,extreme,9833459615,1
"Central Warehouse, Kathmandu","Ward 23, Baneshwor, Kathmandu",2877.54,COD,foggy,9822123418,1
"Central Warehouse, Kathmandu","Durbar Square, Bhaktapur",2151.95,COD,rainy,9863196784,1
"Central Warehouse, Kathmandu","Jawalakhel, Lalitpur",2809.7,prepaid,foggy,9856747705,1
"Central Warehouse, Kathmandu","Jawalakhel, Lalitpur",683.74,prepaid,normal,9852998086,0
"Central Warehouse, Kathmandu","Ward 29, Jawalakhel, Lalitpur",3360.18,prepaid,clear,9820349783,0
"Central Warehouse, Kathmandu","Ward 8, Thamel, Kathmandu",4151.86,COD,normal,9837978407,1
"Central Warehouse, Kathmandu","Ward 17, Lakeside, Pokhara",1678.76,cod,foggy,9826479885,0
"Central Warehouse, Kathmandu","Ward 1, Jawalakhel, Lalitpur",2089.71,prepaid,foggy,9814251950,1
"Central Warehouse, Kathmandu","Baneshwor, Kathmandu",3818.56,prepaid,foggy,9864010199,0
"Central Warehouse, Kathmandu","Jawalakhel, Lalitpur",4533.47,COD,foggy,9847621970,0
"Central Warehouse, Kathmandu","Ward 9, Baneshwor, Kathmandu",2837.54,COD,foggy,9834744175,0
"Central Warehouse, Kathmandu","Ward 7, Durbar Square, Bhaktapur",4706.64,online,normal,9837253420,0
"Central Warehouse, Kathmandu","Thamel, Kathmandu",2647.28,online,rainy,9856004510,1
"Central Warehouse, Kathmandu","Ward 19, Thamel, Kathmandu",3518.64,COD,normal,9817488890,0
"Central Warehouse, Kathmandu","Patan Durbar Square, Lalitpur",3660.61,online,extreme,9852537945,0
"Central Warehouse, Kathmandu","Ward 19, Baneshwor, Kathmandu",1166.3,cod,normal,9855131695,1
"Central Warehouse, Kathmandu","Ward 4, Main Road, Biratnagar",2574.17,COD,foggy,9841257314,0
"Central Warehouse, Kathmandu","Ward 28, Baneshwor, Kathmandu",2050.66,COD,rainy,9863783523,0
"Central Warehouse, Kathmandu","Ward 31, Patan Durbar Square, Lalitpur",3566.23,online,clear,9865825727,0
"Central Warehouse, Kathmandu","Jawalakhel, Lalitpur",4495.46,online,foggy,9834463519,0
"Central Warehouse, Kathmandu","Ward 8, Jawalakhel, Lalitpur",2795.52,cod,rainy,9812252261,0
"Central Warehouse, Kathmandu","Ward 12, Lakeside, Pokhara",778.82,prepaid,extreme,9876784867,1
"Central Warehouse, Kathmandu","Durbar Square, Bhaktapur",2250.6,online,foggy,9891474044,0
"Central Warehouse, Kathmandu","Patan Durbar Square, Lalitpur",3518.52,cod,normal,9883828585,0
"Central Warehouse, Kathmandu","Ward 27, Durbar Square, Bhaktapur",247.66,COD,normal,9868276762,0
"Central Warehouse, Kathmandu","Lakeside, Pokhara",1221.89,cod,clear,9895483249,1
"Central Warehouse, Kathmandu","Main Road, Biratnagar",3175.6,cod,clear,9852704331,0
"Central Warehouse, Kathmandu","Ward 7, Lakeside, Pokhara",805.87,online,clear,9856352739,0
"Central Warehouse, Kathmandu","Baneshwor, Kathmandu",1913.35,online,normal,9829792015,1
"Central Warehouse, Kathmandu","Ward 29, Thamel, Kathmandu",1602.14,prepaid,clear,9839342212,1
"Central Warehouse, Kathmandu","Ward 5, Thamel, Kathmandu",4080.64,prepaid,normal,9814337246,1
"Central Warehouse, Kathmandu","Main Road, Biratnagar",3994.81,cod,foggy,9881667104,0
"Central Warehouse, Kathmandu","Ward 10, Jawalakhel, Lalitpur",2337.66,COD,extreme,9880611411,0
"Central Warehouse, Kathmandu","Lakeside, Pokhara",4033.52,prepaid,clear,9816609017,0
"Central Warehouse, Kathmandu","Patan Durbar Square, Lalitpur",412.86,online,extreme,9867772651,0
"Central Warehouse, Kathmandu","Ward 27, Durbar Square, Bhaktapur",1000.75,cod,clear,9867939109,1
"Central Warehouse, Kathmandu","Ward 2, Baneshwor, Kathmandu",420.54,COD,foggy,9887726965,1
"Central Warehouse, Kathmandu","Ward 6, Lakeside, Pokhara",3036.82,prepaid,foggy,9876796972,0
